1785275945.7941608,1785275945.8321278,False,False,False,False
1785275945.85438,1785275945.835951,False,False,False,False
1785275945.85438,1785275945.835951,False,False,False,False
1785275945.85438,1785275945.835951,False,False,False,False
1785275945.85438,1785275945.835951,False,False,False,False
1785275945.85438,1785275945.835951,False,False,False,False
1785275945.85438,1785275945.835951,False,False,False,False
1785275945.85438,1785275945.835951,False,False,False,False
1785275945.8833442,1785275945.912083,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9361358,1785275945.9205985,False,False,False,False
1785275945.9441562,1785275946.0320718,False,False,False,False
1785275946.0243342,1785275946.0421116,False,False,False,False
1785275946.0443099,1785275946.043744,False,False,False,False
1785275946.0443099,1785275946.043744,False,False,False,False
1785275946.0443099,1785275946.043744,False,False,False,False
1785275946.0443099,1785275946.043744,False,False,False,False
1785275946.0443099,1785275946.043744,False,False,False,False
1785275946.0443099,1785275946.043744,False,False,False,False
1785275946.0632627,1785275946.1120524,False,False,False,False
1785275946.12369,1785275946.11368,False,False,False,False
1785275946.1334333,1785275946.1221256,False,False,False,False
1785275946.1334333,1785275946.1221256,False,False,False,False
1785275946.1334333,1785275946.1221256,False,False,False,False
1785275946.1334333,1785275946.1221256,False,False,False,False
1785275946.143485,1785275946.172109,False,False,False,False
1785275946.1834717,1785275946.1738925,False,False,False,False
1785275946.2042747,1785275946.1887534,False,False,False,False
1785275946.2042747,1785275946.1887534,False,False,False,False
1785275946.2042747,1785275946.1887534,False,False,False,False
1785275946.2042747,1785275946.1887534,False,False,False,False
1785275946.214185,1785275946.2320743,False,False,False,False
1785275946.2443976,1785275946.2334073,False,False,False,False
1785275946.264489,1785275946.2500648,False,False,False,False
1785275946.264489,1785275946.2500648,False,False,False,False
1785275946.264489,1785275946.2500648,False,False,False,False
1785275946.264489,1785275946.2500648,False,False,False,False
1785275946.264489,1785275946.2500648,False,False,False,False
1785275946.264489,1785275946.2500648,False,False,False,False
1785275946.264489,1785275946.2500648,False,False,False,False
1785275946.264489,1785275946.2500648,False,False,False,False
1785275946.264489,1785275946.2500648,False,False,False,False
1785275946.2747867,1785275946.3415065,False,False,False,False
1785275946.3444712,1785275946.3437166,False,False,False,False
1785275946.374829,1785275946.3609364,False,False,False,False
1785275946.3839238,1785275946.368455,False,False,False,False
1785275946.3839238,1785275946.368455,False,False,False,False
1785275946.3839238,1785275946.368455,False,False,False,False
1785275946.3839238,1785275946.368455,False,False,False,False
1785275946.3939426,1785275946.4120874,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.43349,1785275946.419102,False,False,False,False
1785275946.4536586,1785275946.5420783,False,False,False,False
1785275946.5137768,1785275946.5520444,False,False,False,False
1785275946.563336,1785275946.5587852,False,False,False,False
1785275946.573379,1785275946.5621731,False,False,False,False
1785275946.573379,1785275946.5621731,False,False,False,False
1785275946.5855281,1785275946.5920544,False,False,False,False
1785275946.6045055,1785275946.5933366,False,False,False,False
1785275946.624215,1785275946.6088076,False,False,False,False
1785275946.624215,1785275946.6088076,False,False,False,False
1785275946.6344078,1785275946.629948,False,False,False,False
1785275946.654226,1785275946.633262,False,False,False,False
1785275946.664135,1785275946.6432054,False,False,False,False
1785275946.664135,1785275946.6432054,False,False,False,False
1785275946.6841931,1785275946.6694245,False,False,False,False
1785275946.6950476,1785275946.6789255,False,False,False,False
1785275946.6950476,1785275946.6789255,False,False,False,False
1785275946.7133834,1785275946.7003512,False,False,False,False
1785275946.724574,1785275946.7032893,False,False,False,False
1785275946.7334027,1785275946.7129989,False,False,False,False
1785275946.7444253,1785275946.7229824,False,False,False,False
1785275946.7543511,1785275946.7393663,False,False,False,False
1785275946.7641556,1785275946.7427924,False,False,False,False
1785275946.7734463,1785275946.7593915,False,False,False,False
1785275946.7734463,1785275946.7593915,False,False,False,False
1785275946.7934947,1785275946.7785563,False,False,False,False
1785275946.8055203,1785275946.7904193,False,False,False,False
1785275946.8055203,1785275946.7904193,False,False,False,False
1785275946.8240614,1785275946.8029978,False,False,False,False
1785275946.834081,1785275946.8131535,False,False,False,False
1785275946.8436532,1785275946.822707,False,False,False,False
1785275946.854473,1785275946.839107,False,False,False,False
1785275946.864343,1785275946.8488708,False,False,False,False
1785275946.8736491,1785275946.8586037,False,False,False,False
1785275946.8834758,1785275946.8689468,False,False,False,False
1785275946.8834758,1785275946.8689468,False,False,False,False
1785275946.903661,1785275946.8829753,False,False,False,False
1785275946.9164124,1785275946.9017599,False,False,False,False
1785275946.925437,1785275946.9099467,False,False,False,False
1785275946.9334707,1785275946.9187703,False,False,False,False
1785275946.9444287,1785275946.9290395,False,False,False,False
1785275946.9444287,1785275946.9290395,False,False,False,False
1785275946.9641535,1785275946.9503918,False,False,False,False
1785275946.9742317,1785275946.9531786,False,False,False,False
1785275946.983256,1785275946.968554,False,False,False,False
1785275946.9938579,1785275946.9728696,False,False,False,False
1785275947.004393,1785275946.9895616,False,False,False,False
1785275947.014382,1785275946.9992843,False,False,False,False
1785275947.025272,1785275947.009221,False,False,False,False
1785275947.0343444,1785275947.018914,False,False,False,False
1785275947.0440884,1785275947.0291157,False,False,False,False
1785275947.0541124,1785275947.0402575,False,False,False,False
1785275947.0541124,1785275947.0402575,False,False,False,False
1785275947.0742233,1785275947.052987,False,False,False,False
1785275947.08438,1785275947.0700552,False,False,False,False
1785275947.08438,1785275947.0700552,False,False,False,False
1785275947.104502,1785275947.0891607,False,False,False,False
1785275947.114425,1785275947.1011212,False,False,False,False
1785275947.114425,1785275947.1011212,False,False,False,False
1785275947.1333108,1785275947.1189275,False,False,False,False
1785275947.1443582,1785275947.1231682,False,False,False,False
1785275947.1542838,1785275947.1330132,False,False,False,False
1785275947.1542838,1785275947.1330132,False,False,False,False
1785275947.1542838,1785275947.1330132,False,False,False,False
1785275947.164269,1785275947.1688802,False,False,False,False
1785275947.1944337,1785275947.181099,False,False,False,False
1785275947.1944337,1785275947.181099,False,False,False,False
